title,company,experience,salary,location,description,skills,posted,salary_disclosed,min_experience,max_experience,work_mode,location_list,skills_list,min_salary,max_salary,salary_in_lacs
Data Analyst,Corporate Web Solutions,Not Mentioned,Unpaid,Bengaluru,Not Mentioned,Not Mentioned,Starts in 1-3 months,True,,,On-site,['Bengaluru'],['Not Mentioned'],,,False
Data Analysts,PRODAT,1-3,,Bengaluru,Provide data guidance and support to staff. Disclaimer: This job description has been s...,"Hlookup, Macros, Python, Data Analysis, Data Management, Data Analysis, Data Validation, Data Mining",3+ weeks ago,False,1,3,On-site,['Bengaluru'],"['Hlookup', 'Macros', 'Python', 'Data Analysis', 'Data Management', 'Data Analysis', 'Data Validation', 'Data Mining']",,,False
Data Analyst,Mudra Ooh,2-7,,Bengaluru,Provide data-driven insights to support strategic planning and decision-making. Disclai...,"Database Maintenance, Macros, Data Analysis, Data Analysis, Data Mining, Business Analysis, Power BI, Dashboards",3+ weeks ago,False,2,7,On-site,['Bengaluru'],"['Database Maintenance', 'Macros', 'Data Analysis', 'Data Analysis', 'Data Mining', 'Business Analysis', 'Power BI', 'Dashboards']",,,False
Data Analyst,Rockwell Automation,3-8,,Pune,". Bachelors Degree in computer science, management information systems or related field...","Computer Science, Automation, SAP, Production Support, Hyperion, Agile, SQL",3+ weeks ago,False,3,8,On-site,['Pune'],"['Computer Science', 'Automation', 'SAP', 'Production Support', 'Hyperion', 'Agile', 'SQL']",,,False
Data Analyst I,Philips,8-13,,Bengaluru,"Minimum required Education: Bachelors / Masters Degree in Information Management, Infor...","Data Analysis, Manager Quality Assurance, Data Modeling, Healthcare, Data Mining, Business Intelligence, Continuous Improvement",3+ weeks ago,False,8,13,On-site,['Bengaluru'],"['Data Analysis', 'Manager Quality Assurance', 'Data Modeling', 'Healthcare', 'Data Mining', 'Business Intelligence', 'Continuous Improvement']",,,False
Data Analyst,Eduport,0-1,,Kozhikode,"The ideal candidate should be highly analytical, detail-oriented, and capable of transf...","Data Analysis, Machine Learning, Data Processing, Power BI, Predictive Modeling, Forecasting, SQL",3+ weeks ago,False,0,1,On-site,['Kozhikode'],"['Data Analysis', 'Machine Learning', 'Data Processing', 'Power BI', 'Predictive Modeling', 'Forecasting', 'SQL']",,,False
Data Analyst,Exly,0-4,,Gurugram,"Qualifications: . Bachelors degree in Computer Science, Statistics, Mathematics, or a r...","Computer Science, Data Analysis, Tableau, Postgresql, Saas, Agile, Healthcare, Data Quality",3+ weeks ago,False,0,4,On-site,['Gurugram'],"['Computer Science', 'Data Analysis', 'Tableau', 'Postgresql', 'Saas', 'Agile', 'Healthcare', 'Data Quality']",,,False
Data Analyst,Magic Infomedia,0-2,,New Delhi,"Job Types: Full-time, Permanent            View Job Description       We are seeking ...","Business Analyst, Data Analysis, Business Analysis",3+ weeks ago,False,0,2,On-site,['New Delhi'],"['Business Analyst', 'Data Analysis', 'Business Analysis']",,,False
Data Analyst,Relinns,Not Mentioned,Unpaid,Mohali,Not Mentioned,Not Mentioned,Starts in 1-3 months,True,,,On-site,['Mohali'],['Not Mentioned'],,,False
Data Analyst,Zero Gravity Photography,0-2,,Chennai,"Location is Chennai Required Candidate Profile : 3+ Years Experience, Good Communicatio...","Data Analysis, Business Reporting, Reporting",3+ weeks ago,False,0,2,On-site,['Chennai'],"['Data Analysis', 'Business Reporting', 'Reporting']",,,False
Data Analyst,Claight Corporation Expert Market Research,0-1,,Noida,Claight Corporation (Expert Market Research) is looking for Data Analyst to join our dy...,Data Analysis,3+ weeks ago,False,0,1,On-site,['Noida'],['Data Analysis'],,,False
Data Analyst,Fireblaze Ai School,0-2,,Ahmedabad,We are looking for a detail-oriented and analytical Data Analyst who is proficient in P...,"Performance Tuning, Automation, Data Analysis, Data Modeling, Machine Learning, Macros, SQL",3+ weeks ago,False,0,2,On-site,['Ahmedabad'],"['Performance Tuning', 'Automation', 'Data Analysis', 'Data Modeling', 'Machine Learning', 'Macros', 'SQL']",,,False
Data Analyst,Eduport,0-1,,Kozhikode,"The ideal candidate should be detail-oriented, analytical, and proactive in identifying...","Data Analysis, Automation, Excel, Sales Operations, Data Processing, Data Visualization, SQL",3+ weeks ago,False,0,1,On-site,['Kozhikode'],"['Data Analysis', 'Automation', 'Excel', 'Sales Operations', 'Data Processing', 'Data Visualization', 'SQL']",,,False
Data Analyst,Mr Technical Veer Digital Services,0-3,,Lalitpur,MR.TECHNICAL VEER DIGITAL SERVICES is looking for Data Analyst to join our dynamic team...,Data Analysis,3+ weeks ago,False,0,3,On-site,['Lalitpur'],['Data Analysis'],,,False
Data Analyst,Exly,0-3,,Gurugram,". Bachelors degree in Computer Science, Statistics, Mathematics, or a related fieldMast...","Computer Science, Data Analysis, Tableau, Postgresql, Saas, Agile, Healthcare, Data Quality",3+ weeks ago,False,0,3,On-site,['Gurugram'],"['Computer Science', 'Data Analysis', 'Tableau', 'Postgresql', 'Saas', 'Agile', 'Healthcare', 'Data Quality']",,,False
Data Analyst,Kaleesuwari Refinery and Industry (KRIPL),0-3,,"Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore","and data visualization tools (e.g., Tableau) is often required",Data Analysis,3+ weeks ago,False,0,3,On-site,"['Madurai', 'Tiruppur', 'Salem', 'Chennai', 'Tiruchirapalli', 'Coimbatore']",['Data Analysis'],,,False
Data Analyst,Peroptyx,0-2,,Remote,"As part of this role, you will verify that business names and opening hours are correc...","Protection System, Independent Contractor, Social Media, Antivirus, Evaluator",3+ weeks ago,False,0,2,Remote,['Remote'],"['Protection System', 'Independent Contractor', 'Social Media', 'Antivirus', 'Evaluator']",,,False
Data Analyst,Diensten Tech,0-1,,Gurugram,Diensten Tech Limited is looking for Data Analyst to join our dynamic team and embark o...,Data Analysis,3+ weeks ago,False,0,1,On-site,['Gurugram'],['Data Analysis'],,,False
Data Analyst - German,Numerator,0-7,,Vadodara,"While data entry experience is a plus, we will train candidates that have the right att...","Training, Retail, Database, German, Data Entry",3+ weeks ago,False,0,7,On-site,['Vadodara'],"['Training', 'Retail', 'Database', 'German', 'Data Entry']",,,False
Data Analysts / HTML Editor,Ace Software Exports,0-4,,Rajkot,Diploma / Degree/Masters in IT related field. .,"Training, Adobe Acrobat, Xml, Epub, Html, Editor, Testing, Data Analysis",3+ weeks ago,False,0,4,On-site,['Rajkot'],"['Training', 'Adobe Acrobat', 'Xml', 'Epub', 'Html', 'Editor', 'Testing', 'Data Analysis']",,,False
Data Analyst,Akal Information Systems,2-6,,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",Job Description Data AnalystPosition: Data AnalystExperience: 2-6 YearsLocation: Delhi...,"Data Analysis, Power BI, Data Analysis, SQL, Business Intelligence",2 weeks ago,False,2,6,On-site,"['Bengaluru', 'Delhi / NCR', 'Mumbai (All Areas)']","['Data Analysis', 'Power BI', 'Data Analysis', 'SQL', 'Business Intelligence']",,,False
Data Analyst,MS Guide World,4-9,,Bengaluru,"Bachelor s or Master s degree in Data Science, Computer Science, Statistics, or a relat...","Solution Design, Data Analysis, Data Modeling, Healthcare, Data Analysis, Business Intelligence, Project Delivery, Python",3+ weeks ago,False,4,9,On-site,['Bengaluru'],"['Solution Design', 'Data Analysis', 'Data Modeling', 'Healthcare', 'Data Analysis', 'Business Intelligence', 'Project Delivery', 'Python']",,,False
Data Analyst,Client of Talent Corner,2-4,4-8 Lacs PA,Bengaluru,"Creating Daily, Weekly & Monthly performance reports for different business unitsRespon...","Power BI, Data Analysis, Power Query, SQL, Python, Data Analysis",3 weeks ago,True,2,4,On-site,['Bengaluru'],"['Power BI', 'Data Analysis', 'Power Query', 'SQL', 'Python', 'Data Analysis']",4.0,8.0,True
Data Governance Innovation Analyst,Merck Sharp & Dohme (MSD),2-3,,Hyderabad,"Bachelor s degree in Computer Science, Software Engineering, Data Science, or equivalen...","Computer Science, Metadata, Data Management, Access Management, Gcp, Healthcare, Workflow, Data Quality",1 week ago,False,2,3,On-site,['Hyderabad'],"['Computer Science', 'Metadata', 'Data Management', 'Access Management', 'Gcp', 'Healthcare', 'Workflow', 'Data Quality']",,,False
Data Analyst,Aroha Technologies,0-3,,Bengaluru,"Providing technical expertise in data storage structures, data mining, and data cleansi...",Data Analysis,3+ weeks ago,False,0,3,On-site,['Bengaluru'],['Data Analysis'],,,False
TARIFF DATA ANALYST,Innover Digital,0-5,,Bengaluru,"including preferred methods and measurements, processes, costs, supplier quality contro...","Supply Chain, It Services, Trade, Management Systems, Project Management, Trade Operations, Continuous Improvement",3+ weeks ago,False,0,5,On-site,['Bengaluru'],"['Supply Chain', 'It Services', 'Trade', 'Management Systems', 'Project Management', 'Trade Operations', 'Continuous Improvement']",,,False
Data Analyst,CGI,5-8,,Hyderabad,"Role & responsibilities . Bachelors degree in Data Science, Statistics, Computer Scienc...","Data Visualization, Data Analysis, Machine Learning, Python, SQL, Statistical Modeling, Data Analysis, Modeling",3 weeks ago,False,5,8,On-site,['Hyderabad'],"['Data Visualization', 'Data Analysis', 'Machine Learning', 'Python', 'SQL', 'Statistical Modeling', 'Data Analysis', 'Modeling']",,,False
Data Analyst,Kaba Group,2-5,,New Delhi,Kaba Infratech Pvt Ltd is looking for Data Analyst to join our dynamic team and embark ...,"Metadata, Python, Data Analysis, Data Management, Data Analysis, Data Validation, Data Mining",3+ weeks ago,False,2,5,On-site,['New Delhi'],"['Metadata', 'Python', 'Data Analysis', 'Data Management', 'Data Analysis', 'Data Validation', 'Data Mining']",,,False
Data Analyst,Aeries Technology,3-8,,Pune,"Aeries is Great Place to Work certified by GPTW Institute, reflecting our commitment to...","Automation, Business Analyst, Financial Analysis, Project Management, Consulting, Continuous Improvement, Stakeholder Management",3+ weeks ago,False,3,8,On-site,['Pune'],"['Automation', 'Business Analyst', 'Financial Analysis', 'Project Management', 'Consulting', 'Continuous Improvement', 'Stakeholder Management']",,,False
