title,company,experience,salary,location,description,skills,posted
Data Analyst - CB&P CDO,Barclays,1-8 Yrs,,Pune,". Hands-on experience with SQL, Python, AWS, and data analytics tools for data extracti...","Automation, Data management, Senior Analyst, Analytical, Data quality, Risk management, Continuous improvement, Operations",2 days ago
Data Analyst,Apptad,0-3 Yrs,,"Prayagraj, Varanasi, Ghaziabad, Kanpur, Lucknow, Agra",Required Skills . Strong knowledge of Financial Analysis and MIS Reporting. . Advanced ...,"Tally, ERP, Financial statements, Financial analysis, Financial planning, Business planning, Cash flow, Budgeting",3 days ago
Walk-in || Data Analyst,Everest Fleet,,3-4.5 Lacs PA,,"Bachelors degree in Statistics, Mathematics, Computer Science, Engineering, Economics, ...","Power Bi, Bi, Data Visualization, Data Analytics, SQL, Data Analysis, Bi Tools, Tableau",6 days ago
Data Analyst,Sunbrilo Technology,3-8 Yrs,,"Pune, Bengaluru","Preferred Qualifications: . Bachelors degree in Data Science, Information Systems, Comp...","Data Analysis, data migration, SQL, Python, SaaS environment, ETL, Environment, SAAS",1 day ago
Data Analyst,MAN Truck & Bus,4-6 Yrs,,Pune,. Microsoft Certified: Power BI Data Analyst Associate (PL300) . Experience with enterp...,"microsoft power bi, advanced analytics, python, data analytics, data analysis, sap, performance tuning, software testing",1 week ago
Data Analyst,Chartered Speed,0-1 Yrs,,Ahmedabad(Sanathal),"Job Summary:(Only for Female) We are looking for a Data Analyst to collect, analyze, an...","Power Bi, Bi, Data Analytics, Data, Analytics, Data analysis",2 weeks ago
Data Analyst,Rishabh Gupta Corp,0-4 Yrs,3-5 Lacs PA,"Mumbai (All Areas)(Gamdevi), Hughes Road Gamdevi, Grant Road West","Utilize techniques (coding preferred) to manipulate and analyze data, build data models...","Artificial Intelligence, Statistical Modeling, Data Analytics, Statistics, Python, Data Visualization, SQL, Data",2 weeks ago
Data Analyst,Tradeweb,2-4 Yrs,,Bengaluru,"The ideal candidate will possess strong technical expertise in SQL and Python, along wi...","Snowflake, Cd, Ci Cd Pipeline, Bi, Tools, Ci/Cd, Tableau, Verbal Communication",1 day ago
Sustainability Data Analyst,Thomson Reuters,2-7 Yrs,,Mumbai,"Proven experience in data analysis, preferably 2+ years, with demonstrated ability to w...","Stakeholder Engagement, Data analysis, Analytical, Market intelligence, Labour, Data quality, Data Analyst, data visualization",1 day ago
Data Analyst,Financial Service,5-10 Yrs,,Hybrid - Pune,"Willingness to work flexible shifts, including UK and US time zonesRecommend process en...","O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",1 week ago
ESG Data Analyst,SunTec India,0-2 Yrs,"50,000-2 Lacs PA",New Delhi(Pitampura),Skills & Qualifications Required: . Educational Background: Graduate in Commerce or Sci...,"Backend Operations, computer operator, Back Office, Back Office Support, Data Entry Operation, researc, Data entry, Backend",Few hours ago
